ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
236	2	1	2	0.000000	129.000000	125.000000	0.000000	0.000000	0	0	0
237	1	3	2	0.000000	137.000000	134.000000	0.000000	0.000000	0	0	0
238	2	3	1	0.000000	97.500000	97.500000	0.000000	0.000000	0	0	0
239	1	1	1	0.000000	93.000000	93.000000	0.000000	0.000000	0	0	0
240	1	2	2	0.000000	101.000000	101.000000	0.000000	0.000000	0	0	0
241	1	2	2	0.000000	107.000000	107.000000	0.000000	0.000000	0	0	0
242	1	2	2	0.000000	139.000000	130.000000	0.000000	0.000000	0	0	0
243	2	2	1	0.000000	132.000000	90.500000	0.000000	0.000000	0	0	0
244	7	1	1	0.000000	19.571429	19.571429	0.000000	0.000000	0	0	0
245	4	1	2	0.000000	18.750000	18.250000	0.000000	0.000000	0	0	0
246	1	2	2	0.000000	20.000000	18.000000	0.000000	0.000000	0	0	0
247	5	2	1	0.000000	18.200000	16.200000	0.000000	0.000000	0	0	0
248	2	2	1	0.000000	17.500000	15.500000	0.000000	0.000000	0	0	0
249	4	2	1	0.000000	15.500000	14.500000	0.000000	0.000000	0	0	0
250	1	1	1	0.000000	14.000000	14.000000	0.000000	0.000000	0	0	0
251	2	1	1	0.000000	68.000000	41.000000	0.000000	0.000000	0	0	0
252	1	2	2	0.000000	68.000000	52.000000	0.000000	0.000000	0	0	0
253	2	1	1	0.000000	67.500000	54.000000	0.000000	0.000000	0	0	0
254	2	1	2	0.000000	71.000000	27.000000	0.000000	0.000000	0	0	0
255	1	2	2	0.000000	72.000000	40.000000	0.000000	0.000000	0	0	0
256	1	3	1	0.000000	71.000000	41.000000	0.000000	0.000000	0	0	0
257	2	2	1	0.000000	67.000000	38.000000	0.000000	0.000000	0	0	0
258	3	3	2	0.000000	49.666667	20.000000	0.000000	0.000000	0	0	0
259	2	1	2	0.000000	51.000000	41.000000	0.000000	0.000000	0	0	0
260	1	2	3	0.000000	152.000000	123.000000	0.000000	0.000000	0	0	0
261	10	1	1	0.000000	4.500000	4.500000	0.000000	0.000000	0	0	0
262	2	1	2	0.000000	6.000000	6.000000	0.000000	0.000000	0	0	0
263	1	2	2	0.000000	22.000000	22.000000	0.000000	0.000000	0	0	0
264	1	1	1	0.000000	6.000000	6.000000	0.000000	0.000000	0	0	0
265	1	2	2	0.000000	7.000000	7.000000	0.000000	0.000000	0	0	0
266	2	2	2	0.000000	24.000000	24.000000	0.000000	0.000000	0	0	0
267	1	6	4	0.000000	302.000000	26.000000	0.000000	0.000000	0	0	0
268	1	3	2	0.000000	27.000000	27.000000	0.000000	0.000000	0	0	0
269	2	1	1	0.000000	6.000000	6.000000	0.000000	0.000000	0	0	0
270	1	2	2	0.000000	22.000000	22.000000	0.000000	0.000000	0	0	0
271	72	1	1	0.000000	4.888889	4.888889	0.000000	0.000000	0	0	0
272	1	2	3	0.000000	61.000000	61.000000	0.000000	0.000000	0	0	0
273	3	1	1	0.000000	14.333333	14.333333	0.000000	0.000000	0	0	0
274	1	2	2	0.000000	43.000000	43.000000	0.000000	0.000000	0	0	0
275	1	2	1	0.000000	29.000000	28.000000	0.000000	0.000000	0	0	0
276	44	1	1	0.000000	12.727273	12.250000	0.000000	0.000000	0	0	0
277	2	2	2	0.000000	33.500000	33.500000	0.000000	0.000000	0	0	0
278	2	2	1	0.000000	13.000000	13.000000	0.000000	0.000000	0	0	0
279	6	1	1	0.000000	10.500000	10.500000	0.000000	0.000000	0	0	0
280	5	1	2	0.000000	26.400000	26.400000	0.000000	0.000000	0	0	0
281	0	2	2	Inf	Inf	Inf	Inf	Inf	0	0	0
282	1	2	2	0.000000	29.000000	29.000000	0.000000	0.000000	0	0	0
283	1	1	1	0.000000	13.000000	13.000000	0.000000	0.000000	0	0	0
284	1	2	3	0.000000	15.000000	14.000000	0.000000	0.000000	0	0	0
285	14	1	1	0.000000	15.928571	13.285714	0.000000	0.000000	0	0	0
286	1	1	4	0.000000	402.000000	142.000000	0.000000	0.000000	0	0	0
287	1	3	2	0.000000	367.000000	134.000000	0.000000	0.000000	0	0	0
288	2	3	3	0.000000	182.500000	81.500000	0.000000	0.000000	0	0	0
289	1	6	3	0.000000	357.000000	112.000000	0.000000	0.000000	0	0	0
290	1	1	1	0.000000	137.000000	87.000000	0.000000	0.000000	0	0	0
291	2	2	2	0.000000	139.000000	64.500000	0.000000	0.000000	0	0	0
292	1	1	3	0.000000	125.000000	70.000000	0.000000	0.000000	0	0	0
293	1	2	3	0.000000	142.000000	78.000000	0.000000	0.000000	0	0	0
294	1	1	2	0.000000	158.000000	75.000000	0.000000	0.000000	0	0	0
295	1	4	5	0.000000	141.000000	46.000000	0.000000	0.000000	0	0	0
296	1	2	1	0.000000	27.000000	27.000000	0.000000	0.000000	0	0	0
297	3	2	1	0.000000	26.000000	26.000000	0.000000	0.000000	0	0	0
298	2	1	1	0.000000	21.000000	21.000000	0.000000	0.000000	0	0	0
299	1	2	1	0.000000	150.000000	98.000000	0.000000	0.000000	0	0	0
300	1	2	1	0.000000	117.000000	79.000000	0.000000	0.000000	0	0	0
301	3	1	1	0.000000	81.666667	67.000000	0.000000	0.000000	0	0	0
302	3	2	2	0.000000	91.333333	53.666667	0.000000	0.000000	0	0	0
303	3	2	3	0.000000	101.666667	27.000000	0.000000	0.000000	0	0	0
304	2	2	2	0.000000	72.000000	25.500000	0.000000	0.000000	0	0	0
305	2	1	1	0.000000	74.000000	24.500000	0.000000	0.000000	0	0	0
306	1	4	3	0.000000	146.000000	40.000000	0.000000	0.000000	0	0	0
307	1	3	4	0.000000	161.000000	25.000000	0.000000	0.000000	0	0	0
308	1	2	1	0.000000	160.000000	56.000000	0.000000	0.000000	0	0	0
309	1	1	2	0.000000	129.000000	95.000000	0.000000	0.000000	0	0	0
310	1	3	2	0.000000	131.000000	93.000000	0.000000	0.000000	0	0	0
311	11	2	2	0.000000	11.090909	11.090909	0.000000	0.000000	0	0	0
312	28	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
313	3	1	2	0.000000	17.000000	16.000000	0.000000	0.000000	0	0	0
314	21	1	2	0.000000	16.714286	16.523810	0.000000	0.000000	0	0	0
315	1	2	2	0.000000	39.000000	39.000000	0.000000	0.000000	0	0	0
