ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
297	26	2	1	0.000000	11.653846	11.653846	0.000000	0.000000	0	N/A	N/A
298	64	2	0	0.000000	1.015625	1.015625	0.000000	0.000000	0	N/A	N/A
299	3	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	N/A	N/A
300	1	2	1	0.000000	5.000000	5.000000	0.000000	0.000000	0	N/A	N/A
301	6	1	1	0.000000	4.000000	4.000000	0.000000	0.000000	0	N/A	N/A
302	3	1	2	0.000000	5.333333	5.333333	0.000000	0.000000	0	N/A	N/A
303	6	1	2	0.000000	2.333333	2.333333	0.000000	0.000000	0	N/A	N/A
304	2	1	2	0.000000	5.000000	5.000000	0.000000	0.000000	0	N/A	N/A
305	52	1	1	0.000000	11.942308	11.442308	0.000000	0.000000	0	N/A	N/A
306	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	N/A	N/A
307	31	1	1	0.000000	2.967742	2.967742	0.000000	0.000000	0	N/A	N/A
308	25	1	1	0.000000	1.440000	1.440000	0.000000	0.000000	0	N/A	N/A
309	3	1	2	0.000000	11.666667	1.000000	0.000000	0.000000	0	N/A	N/A
310	1	1	2	0.000000	6.000000	6.000000	0.000000	0.000000	0	N/A	N/A
311	68	1	0	0.000000	1.352941	1.352941	0.000000	0.000000	0	N/A	N/A
312	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	N/A	N/A
313	66	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	N/A	N/A
314	64	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	N/A	N/A
315	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	N/A	N/A
316	51	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	N/A	N/A
317	49	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	N/A	N/A
318	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	N/A	N/A
319	31	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	N/A	N/A
